https://www.dndbeyond.com/posts/1916-updates-in-the-dungeon-masters-guide-2024	Chapter 4: Creating Adventures provides guidance on how to create a full adventure
https://www.dndbeyond.com/sources/dnd/br-2024/dms-toolbox	has an XP budget of 50
https://www.dndbeyond.com/sources/dnd/br-2024/dms-toolbox	Spend as much of your XP budget as you can without going over
https://www.dndbeyond.com/sources/dnd/br-2024/dms-toolbox	Three categories describe the range of encounter difficulty
https://www.dndbeyond.com/sources/dnd/br-2024/dms-toolbox	more than two creatures per character
https://www.dndbeyond.com/sources/dnd/br-2024/magic-items	totaling one hundred magic items by level 20
https://www.dndbeyond.com/sources/dnd/br-2024/magic-items	fourteen items rather than eleven
https://www.dndbeyond.com/posts/1848-journey-through-these-5-short-adventures-in-the	tailored to four characters of the specified character level
https://www.dndbeyond.com/posts/1850-creating-your-first-campaign-using-the-2024	two or more adventures
https://www.dndbeyond.com/posts/1850-creating-your-first-campaign-using-the-2024	three distinct major conflicts
https://www.dndbeyond.com/posts/1850-creating-your-first-campaign-using-the-2024	level 5, 11, and 17
https://www.dndbeyond.com/sources/dnd/br-2024/playing-the-game	The three main pillars of D&D play are social interaction, exploration, and combat
https://www.dndbeyond.com/sources/dnd/br-2024/playing-the-game	three to six are best
https://www.dndbeyond.com/sources/dnd/br-2024/playing-the-game	season
https://www.dndbeyond.com/sources/dnd/basic-rules-2014/building-combat-encounters	six to eight medium or hard encounters in a day
https://www.dndbeyond.com/sources/dnd/basic-rules-2014/building-combat-encounters	fewer than three characters, apply the next highest multiplier
https://www.dndbeyond.com/posts/906-how-to-play-sidekicks-like-heroes-in-tashas	challenge rating of 1/2 or lower
https://marketplace.dndbeyond.com/adventures/SRC-00041	as few as one player
https://theangrygm.com/four-things-youve-never-heard-of-that-make-encounters-not-suck/	An encounter is a sequence of actions that answer a dramatic question by resolving one or more conflicts
https://theangrygm.com/four-things-youve-never-heard-of-that-make-encounters-not-suck/	Encounter - (Act) - Adventure - (Arc) - Campaign
https://theangrygm.com/lets-start-at-the-very-end/	Before you can start writing an adventure, you have to know the ending
https://mcpress.media-commons.org/complextelevision/complexity/	big bad
https://en.wikipedia.org/wiki/Primetime_Adventures	five or nine sessions
https://slyflourish.com/running_episodic_games.html	eleven
https://troypress.com/monster-of-the-weeks-mystery-countdowns/	Nightfall
https://pub.anselcomputers.com/3838/matt-colville-running-the-game	Always know what the bad guys want
https://www.dwsrd.org/gm/fronts.html	for an adventure front, 3-5 for the campaign front
https://www.dwsrd.org/gm/fronts.html	One or two is usually a good number
https://www.dwsrd.org/gm/fronts.html	continue along apace
https://bladesinthedark.com/progress-clocks	4-segment
https://bladesinthedark.com/progress-clocks	the GM ticks forward the faction clocks
https://bladesinthedark.com/faction-game	-3 to +3
https://rsek.github.io/starforged-srd/moves/legacy	legacy track
https://www.wordmillgames.com/adventure-crafter.html	two to five Plot Points
https://www.wordmillgames.com/license.html	CC-BY-NC
https://www.gamedeveloper.com/design/how-supergiant-weaves-narrative-rewards-into-i-hades-i-cycle-of-perpetual-death	take the pain out of dying
https://www.shacknews.com/article/80415/cellar-doors-teddy-lee-discusses-rogue-legacy-and-making-failure	your children take over your cause
https://www.gamedeveloper.com/design/designing-i-shadow-of-mordor-i-s-nemesis-system	avenge
https://writeups.letsyouandhimfight.com/angrymog/scarlet-heroes/	Damage is done to enemy Hit Dice but to player Hit Points
https://sine-nomine-publishing.myshopify.com/products/scarlet-heroes	one player and one gamemaster
https://dndduet.com/scaling-combat/	action economy
https://emshort.blog/2019/11/29/storylets-you-want-them/	there are prerequisites that determine when the content can play
https://emshort.blog/2016/04/12/beyond-branching-quality-based-and-salience-based-narrative-structures/	Qualities are numerical variables that can go up or down during play
https://arxiv.org/abs/2402.01817	LLM-Modulo Frameworks
https://arxiv.org/abs/2408.02442	significant decline in LLMs' reasoning abilities under format restrictions
https://blog.dottxt.ai/say-what-you-mean.html	improvement across the board
https://arxiv.org/abs/2307.03172	significantly degrades when models must access relevant information in the middle
https://arxiv.org/abs/2209.14958	location descriptions
https://arxiv.org/abs/2210.06774	plot coherence
https://research.aalto.fi/en/publications/generating-role-playing-game-quests-with-gpt-language-models/	one in five quest descriptions would be deemed acceptable
https://www.gameanalytics.com/reports/2025-mobile-gaming-benchmarks	between 5 and 6 minutes
https://www.gameanalytics.com/reports/2025-mobile-gaming-benchmarks	4 sessions per day
https://www.failbettergames.com/news/fallen-london-writer-guidelines-part-ii	people play FL in spurts
https://www.failbettergames.com/news/fallen-london-writer-guidelines-part-iii	should not go longer than 30 words
https://arxiv.org/abs/2308.07540	low-fidelity ideas
https://arxiv.org/abs/2305.01528	true game state
https://www.boristhebrave.com/2021/04/10/dungeon-generation-in-unexplored/	The cycle type defines the narrative ebb and flow of the level
https://www.gamedeveloper.com/design/the-discomfort-zone-the-hidden-potential-of-valve-s-ai-director	procedural narrative
https://ianparberry.com/research/quests/	750
https://steamcdn-a.akamaihd.net/apps/valve/2009/ai_systems_of_l4d_mike_booth.pdf	Sustain Peak
https://steamcdn-a.akamaihd.net/apps/valve/2009/ai_systems_of_l4d_mike_booth.pdf	Build Up
https://eis.ucsc.edu/papers/MateasSternAIIDE05.pdf	tension arc
https://www.dndbeyond.com/srd	Creative Commons Attribution 4.0
